Model Data	 Subjective Data 	 Percentage Difference 	 Carrier Freq	 AM Freq

 0.19	 0.25	 -25.32	 250.00 	 20.00
 0.33	 0.40	 -16.72	 250.00 	 30.00
 0.41	 0.50	 -18.00	 250.00 	 40.00
 0.39	 0.50	 -22.36	 250.00 	 50.00
 0.31	 0.40	 -22.55	 250.00 	 60.00
 0.23	 0.30	 -24.98	 250.00 	 70.00
 0.17	 0.25	 -32.11	 250.00 	 80.00
 0.13	 0.20	 -33.62	 250.00 	 90.00
 0.10	 0.20	 -48.53	 250.00 	 100.00
 0.08	 0.15	 -49.07	 250.00 	 110.00
 0.23	 0.25	 -7.74	 500.00 	 20.00
 0.47	 0.40	 17.86	 500.00 	 30.00
 0.65	 0.60	 7.69	 500.00 	 40.00
 0.63	 0.70	 -10.47	 500.00 	 50.00
 0.61	 0.70	 -13.41	 500.00 	 60.00
 0.49	 0.60	 -18.51	 500.00 	 70.00
 0.38	 0.55	 -31.35	 500.00 	 80.00
 0.30	 0.45	 -33.51	 500.00 	 90.00
 0.24	 0.35	 -32.53	 500.00 	 100.00
 0.19	 0.30	 -37.90	 500.00 	 110.00
 0.19	 0.25	 -22.47	 1000.00 	 20.00
 0.40	 0.45	 -10.66	 1000.00 	 30.00
 0.64	 0.65	 -0.96	 1000.00 	 40.00
 0.82	 0.85	 -3.10	 1000.00 	 50.00
 0.91	 0.95	 -3.75	 1000.00 	 60.00
 0.89	 1.00	 -10.50	 1000.00 	 70.00
 0.84	 0.95	 -11.98	 1000.00 	 80.00
 0.72	 0.90	 -20.42	 1000.00 	 90.00
 0.60	 0.75	 -19.49	 1000.00 	 100.00
 0.51	 0.65	 -21.98	 1000.00 	 110.00
 0.15	 0.20	 -24.69	 2000.00 	 20.00
 0.28	 0.35	 -20.15	 2000.00 	 30.00
 0.46	 0.50	 -8.37	 2000.00 	 40.00
 0.62	 0.75	 -17.17	 2000.00 	 50.00
 0.72	 0.80	 -10.46	 2000.00 	 60.00
 0.75	 0.85	 -12.03	 2000.00 	 70.00
 0.73	 0.80	 -8.83	 2000.00 	 80.00
 0.66	 0.75	 -12.46	 2000.00 	 90.00
 0.60	 0.65	 -7.49	 2000.00 	 100.00
 0.53	 0.55	 -3.18	 2000.00 	 110.00
 0.12	 0.15	 -20.30	 4000.00 	 20.00
 0.23	 0.30	 -23.06	 4000.00 	 30.00
 0.37	 0.40	 -6.96	 4000.00 	 40.00
 0.51	 0.55	 -7.97	 4000.00 	 50.00
 0.59	 0.65	 -8.82	 4000.00 	 60.00
 0.62	 0.70	 -10.80	 4000.00 	 70.00
 0.62	 0.65	 -4.75	 4000.00 	 80.00
 0.58	 0.60	 -3.65	 4000.00 	 90.00
 0.54	 0.50	 8.92	 4000.00 	 100.00
 0.49	 0.40	 23.67	 4000.00 	 110.00
